iter	Passed	Remaining
1108	9782	7859
1109	9791	7851
1110	9802	7843
1111	9812	7835
1112	9820	7826
1113	9831	7819
1114	9841	7811
1115	9850	7803
1116	9860	7795
1117	9870	7786
1118	9879	7778
1119	9888	7769
1120	9897	7761
1121	9907	7752
1122	9917	7745
1123	9926	7736
1124	9935	7727
1125	9944	7718
1126	9953	7710
1127	9962	7701
1128	9972	7693
1129	9980	7684
1130	9989	7675
1131	9998	7666
1132	10007	7658
1133	10015	7648
1134	10025	7640
1135	10034	7631
1136	10043	7623
1137	10052	7614
1138	10062	7606
1139	10070	7597
1140	10080	7588
1141	10089	7580
1142	10097	7571
1143	10107	7562
1144	10115	7553
1145	10126	7546
1146	10135	7537
1147	10145	7529
1148	10155	7521
1149	10164	7512
1150	10175	7505
1151	10184	7497
1152	10193	7488
1153	10203	7479
1154	10212	7471
1155	10222	7463
1156	10231	7454
1157	10240	7446
1158	10250	7437
1159	10260	7429
1160	10271	7422
1161	10281	7414
1162	10289	7405
1163	10298	7396
1164	10307	7387
1165	10315	7378
1166	10324	7369
1167	10333	7360
1168	10341	7351
1169	10350	7342
1170	10359	7334
1171	10368	7325
1172	10378	7317
1173	10388	7308
1174	10397	7300
1175	10406	7291
1176	10416	7283
1177	10425	7274
1178	10435	7266
1179	10444	7257
1180	10452	7248
1181	10461	7239
1182	10469	7230
1183	10478	7221
1184	10486	7212
1185	10495	7203
1186	10504	7194
1187	10514	7186
1188	10522	7177
1189	10531	7168
1190	10540	7159
1191	10549	7150
1192	10558	7141
1193	10566	7132
1194	10575	7124
1195	10585	7115
1196	10594	7107
1197	10603	7098
1198	10613	7090
1199	10622	7081
1200	10632	7073
1201	10642	7065
1202	10651	7056
1203	10661	7048
1204	10671	7040
1205	10680	7031
1206	10689	7023
1207	10699	7014
1208	10709	7006
1209	10719	6998
1210	10728	6990
1211	10737	6981
1212	10747	6973
1213	10757	6964
1214	10766	6956
1215	10776	6948
1216	10785	6939
1217	10794	6930
1218	10802	6921
1219	10811	6911
1220	10819	6903
1221	10828	6894
1222	10837	6885
1223	10845	6875
1224	10854	6867
1225	10863	6858
1226	10871	6848
1227	10880	6840
1228	10889	6831
1229	10897	6821
1230	10905	6812
1231	10913	6803
1232	10922	6794
1233	10932	6786
1234	10940	6777
1235	10949	6768
1236	10957	6759
1237	10966	6750
1238	10975	6741
1239	10984	6732
1240	10993	6723
1241	11002	6714
1242	11011	6706
1243	11021	6697
1244	11030	6688
1245	11038	6679
1246	11047	6671
1247	11056	6662
1248	11065	6653
1249	11074	6644
1250	11084	6636
1251	11092	6626
1252	11101	6618
1253	11110	6609
1254	11119	6600
1255	11128	6591
1256	11136	6582
1257	11145	6574
1258	11154	6565
1259	11164	6556
1260	11172	6547
1261	11181	6538
1262	11189	6529
1263	11198	6520
1264	11207	6511
1265	11216	6503
1266	11226	6494
1267	11234	6485
1268	11243	6476
1269	11252	6467
1270	11262	6459
1271	11271	6450
1272	11281	6442
1273	11290	6433
1274	11300	6425
1275	11310	6417
1276	11320	6409
1277	11330	6400
1278	11340	6392
1279	11349	6384
